Brewery DB Style Name,Brewery DB Category,Craft Beer Category,Scenario,Description
Dry Lager,International Style,Specialty Beer,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
Fruit Beer,Hybrid/Mixed Beer,Specialty Beer,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
Belgian-Style White (or Wit) / Belgian-Style Wheat,Belgian And French Origin Ales,Wheat,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
Dark American Wheat Ale or Lager with Yeast,Hybrid/Mixed Beer,Wheat,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
Dark American Wheat Ale or Lager without Yeast,Hybrid/Mixed Beer,Wheat,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
South German-Style Bernsteinfarbenes Weizen / Weissbier,German Origin Ales,Wheat,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
South German-Style Dunkel Weizen / Dunkel Weissbier,German Origin Ales,Wheat,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
South German-Style Hefeweizen / Hefeweissbier,German Origin Ales,Wheat,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
American-Style Sour Ale,North American Origin Ale,Wild/Sour Beer,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
Belgian-style Fruit Beer,Hybrid/Mixed Beer,Wild/Sour Beer,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
Belgian-Style Fruit Lambic,Belgian And French Origin Ales,Wild/Sour Beer,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
Belgian-Style Gueuze Lambic,Belgian And French Origin Ales,Wild/Sour Beer,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
Belgian-Style Lambic,Belgian And French Origin Ales,Wild/Sour Beer,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
Contemporary Gose,British Origin Ales,Wild/Sour Beer,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
Leipzig-Style Gose,German Origin Ales,Wild/Sour Beer,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
Wood- and Barrel-Aged Sour Beer,Hybrid/Mixed Beer,Wild/Sour Beer,Happy Hour,"Choose a beer during happy hour that’s tart, light- to medium-bodied, and on the bitter side, which will whet your appetite come dinner. These include pilsners, wheats, pale lagers, sour beers, dark lagers, and brown ales. Cheers!"
German-Style Heller Bock/Maibock,European-Germanic Lager,Bock,Nightcap,"For a late-night beer, you need something to help digest a full meal or something to pair with your dessert. These are generally big bodied with robust flavors, accompanied by fairly high alcohol contents--therefore ideal for tasting on a full stomach. These include Scottish-style ales, cellar beers, and German-style bocks."
Traditional German-Style Bock,European-Germanic Lager,Bock,Nightcap,"For a late-night beer, you need something to help digest a full meal or something to pair with your dessert. These are generally big bodied with robust flavors, accompanied by fairly high alcohol contents--therefore ideal for tasting on a full stomach. These include Scottish-style ales, cellar beers, and German-style bocks."
Historical Beer,Hybrid/Mixed Beer,Hybrid Beer,Nightcap,"For a late-night beer, you need something to help digest a full meal or something to pair with your dessert. These are generally big bodied with robust flavors, accompanied by fairly high alcohol contents--therefore ideal for tasting on a full stomach. These include Scottish-style ales, cellar beers, and German-style bocks."
Kellerbier (Cellar beer) or Zwickelbier - Ale,German Origin Ales,Hybrid Beer,Nightcap,"For a late-night beer, you need something to help digest a full meal or something to pair with your dessert. These are generally big bodied with robust flavors, accompanied by fairly high alcohol contents--therefore ideal for tasting on a full stomach. These include Scottish-style ales, cellar beers, and German-style bocks."
Scotch Ale,British Origin Ales,Scottish-Style Ale,Nightcap,"For a late-night beer, you need something to help digest a full meal or something to pair with your dessert. These are generally big bodied with robust flavors, accompanied by fairly high alcohol contents--therefore ideal for tasting on a full stomach. These include Scottish-style ales, cellar beers, and German-style bocks."
Scottish-Style Export Ale,British Origin Ales,Scottish-Style Ale,Nightcap,"For a late-night beer, you need something to help digest a full meal or something to pair with your dessert. These are generally big bodied with robust flavors, accompanied by fairly high alcohol contents--therefore ideal for tasting on a full stomach. These include Scottish-style ales, cellar beers, and German-style bocks."
Scottish-Style Heavy Ale,British Origin Ales,Scottish-Style Ale,Nightcap,"For a late-night beer, you need something to help digest a full meal or something to pair with your dessert. These are generally big bodied with robust flavors, accompanied by fairly high alcohol contents--therefore ideal for tasting on a full stomach. These include Scottish-style ales, cellar beers, and German-style bocks."
Scottish-Style Light Ale,British Origin Ales,Scottish-Style Ale,Nightcap,"For a late-night beer, you need something to help digest a full meal or something to pair with your dessert. These are generally big bodied with robust flavors, accompanied by fairly high alcohol contents--therefore ideal for tasting on a full stomach. These include Scottish-style ales, cellar beers, and German-style bocks."
Aged Beer (Ale or Lager),Hybrid/Mixed Beer,Specialty Beer,Nightcap,"For a late-night beer, you need something to help digest a full meal or something to pair with your dessert. These are generally big bodied with robust flavors, accompanied by fairly high alcohol contents--therefore ideal for tasting on a full stomach. These include Scottish-style ales, cellar beers, and German-style bocks."
Belgian-Style Table Beer,Belgian And French Origin Ales,Belgian Style,Porch Pounder,"These day-drinking beers are low in alcohol, and have light, yet interesting flavor profiles. They’ll keep you feeling refreshed on a hot summer day. These include session ales, blondes, and pale ales."
California Common Beer,Hybrid/Mixed Beer,Hybrid Beer,Porch Pounder,"These day-drinking beers are low in alcohol, and have light, yet interesting flavor profiles. They’ll keep you feeling refreshed on a hot summer day. These include session ales, blondes, and pale ales."
"Fresh ""Wet"" Hop Ale",North American Origin Ale,Hybrid Beer,Porch Pounder,"These day-drinking beers are low in alcohol, and have light, yet interesting flavor profiles. They’ll keep you feeling refreshed on a hot summer day. These include session ales, blondes, and pale ales."
Session Beer,Hybrid/Mixed Beer,Hybrid Beer,Porch Pounder,"These day-drinking beers are low in alcohol, and have light, yet interesting flavor profiles. They’ll keep you feeling refreshed on a hot summer day. These include session ales, blondes, and pale ales."
Belgian-Style Blonde Ale,Belgian And French Origin Ales,Pale Ale,Porch Pounder,"These day-drinking beers are low in alcohol, and have light, yet interesting flavor profiles. They’ll keep you feeling refreshed on a hot summer day. These include session ales, blondes, and pale ales."
Belgian-Style Pale Ale,Belgian And French Origin Ales,Pale Ale,Porch Pounder,"These day-drinking beers are low in alcohol, and have light, yet interesting flavor profiles. They’ll keep you feeling refreshed on a hot summer day. These include session ales, blondes, and pale ales."
Classic English-Style Pale Ale,British Origin Ales,Pale Ale,Porch Pounder,"These day-drinking beers are low in alcohol, and have light, yet interesting flavor profiles. They’ll keep you feeling refreshed on a hot summer day. These include session ales, blondes, and pale ales."
Golden or Blonde Ale,North American Origin Ale,Pale Ale,Porch Pounder,"These day-drinking beers are low in alcohol, and have light, yet interesting flavor profiles. They’ll keep you feeling refreshed on a hot summer day. These include session ales, blondes, and pale ales."
English-Style Summer Ale,British Origin Ales,Specialty Beer,Porch Pounder,"These day-drinking beers are low in alcohol, and have light, yet interesting flavor profiles. They’ll keep you feeling refreshed on a hot summer day. These include session ales, blondes, and pale ales."
American-Style Amber (Low Calorie) Lager,North American Lager,American Style Lager,Shotgun,"These beers are the easiest to drink (or chug) without filling you up too fast. These beers are often lagers or pale ales, or light beers. These are great for a party, sporting events, or when you want to down a cold one--fast."
American-Style Ice Lager,North American Lager,American Style Lager,Shotgun,"These beers are the easiest to drink (or chug) without filling you up too fast. These beers are often lagers or pale ales, or light beers. These are great for a party, sporting events, or when you want to down a cold one--fast."
American-Style Light (Low Calorie) Lager,North American Lager,American Style Lager,Shotgun,"These beers are the easiest to drink (or chug) without filling you up too fast. These beers are often lagers or pale ales, or light beers. These are great for a party, sporting events, or when you want to down a cold one--fast."
American-Style Low-Carbohydrate Light Lager,North American Lager,American Style Lager,Shotgun,"These beers are the easiest to drink (or chug) without filling you up too fast. These beers are often lagers or pale ales, or light beers. These are great for a party, sporting events, or when you want to down a cold one--fast."
Energy Enhanced Malt Beverage,Malternative Beverage,Specialty Beer,Shotgun,"These beers are the easiest to drink (or chug) without filling you up too fast. These beers are often lagers or pale ales, or light beers. These are great for a party, sporting events, or when you want to down a cold one--fast."
Flavored Malt Beverage,Malternative Beverage,Specialty Beer,Shotgun,"These beers are the easiest to drink (or chug) without filling you up too fast. These beers are often lagers or pale ales, or light beers. These are great for a party, sporting events, or when you want to down a cold one--fast."
Non-Alcoholic (Beer) Malt Beverages,Hybrid/Mixed Beer,Specialty Beer,Shotgun,"These beers are the easiest to drink (or chug) without filling you up too fast. These beers are often lagers or pale ales, or light beers. These are great for a party, sporting events, or when you want to down a cold one--fast."
